304,Bakewell tart
305,Apple Frangipan Tart
306,Kapsalon
307,Spaghetti Bolognese
308,Spicy Arrabiata Penne
309,Teriyaki Chicken Casserole
310,Honey Teriyaki Salmon
311,Pad See Ew
312,Vegan Lasagna
313,Chocolate Gateau
314,Mediterranean Pasta Salad
315,Cream Cheese Tart
316,Potato Gratin with Chicken
317,Irish stew
318,Lamb tomato and sweet spices
326,Bread and Butter Pudding
319,Rigatoni with fennel sausage sauce
320,Smoky Lentil Chili with Squash
321,Dal fry
322,Rocky Road Fudge
323,Hot Chocolate Fudge
324,Christmas Pudding Flapjack
325,Eton Mess
327,Sticky Toffee Pudding Ultimate
328,Vegan Chocolate Cake
329,Chicken Handi
330,Chicken Alfredo Primavera
331,Spicy North African Potato Salad
332,Fish pie
356,Massaman Beef curry
333,Beef Wellington
334,Poutine
335,Lamb Biryani
336,Tandoori chicken
337,Baingan Bharta
338,Lamb Rogan josh
357,Vietnamese Grilled Pork (bun-thit-nuong)
358,Grilled Mac and Cheese Sandwich
339,Recheado Masala Fish
340,Osso Buco alla Milanese
341,Ribollita
342,Beef Brisket Pot Roast
343,Kentucky Fried Chicken
344,Thai Green Curry
345,French Lentils With Garlic and Thyme
346,"Roasted Eggplant With Tahini, Pine Nuts, and Lentils"
347,"Stovetop Eggplant With Harissa, Chickpeas, and Cumin Yogurt"
348,Chicken Fajita Mac and Cheese
349,Cajun spiced fish tacos
350,Katsu Chicken curry
351,Laksa King Prawn Noodles
352,Toad In The Hole
353,Salmon Prawn Risotto
354,Beef Sunday Roast
355,Braised Beef Chilli
359,Crock Pot Chicken Baked Tacos
360,Chicken Karaage
361,Coq au vin
362,Salted Caramel Cheescake
363,Beef stroganoff
364,Fettucine alfredo
365,Seafood fideuà
366,Pilchard puttanesca
367,Venetian Duck Ragu
368,Chilli prawn linguine
369,Clam chowder
370,Creamy Tomato Soup
371,Broccoli & Stilton soup
372,Lamb Tagine
373,Lasagne
374,Turkey Meatloaf
375,Chicken & mushroom Hotpot
376,Pork Cassoulet
377,Bean & Sausage Hotpot
378,Spinach & Ricotta Cannelloni
379,Chicken Couscous
380,Nutty Chicken Curry
381,Tuna Nicoise
382,Chocolate Avocado Mousse
383,Pancakes
384,Banana Pancakes
385,Choc Chip Pecan Pie
386,Pumpkin Pie
387,New York cheesecake
388,Key Lime Pie
389,Chocolate Raspberry Brownies
390,Peanut Butter Cheesecake
391,Peach & Blueberry Grunt
392,Vegetarian Casserole
393,Mushroom & Chestnut Rotolo
394,Matar Paneer
395,Squash linguine
396,Vegetarian Chilli
397,Kidney Bean Curry
398,Tahini Lentils
399,Chickpea Fajitas
400,Yaki Udon
401,Spanish Tortilla
402,Beef Dumpling Stew
403,Beef and Mustard Pie
404,Chicken Ham and Leek Pie
405,Minced Beef Pie
406,Lamb and Potato pie
407,Beef and Oyster pie
408,Chicken Parmentier
409,McSinghs Scotch pie
410,Steak and Kidney Pie
411,Three Fish Pie
412,Sticky Toffee Pudding
413,Lancashire hotpot
414, Bubble & Squeak
415,Spotted Dick
426,Carrot Cake
416,Kedgeree
417,Eccles Cakes
418,Summer Pudding
419,Jam Roly-Poly
420,Blackberry Fool
421,Treacle Tart
422,Apple & Blackberry Crumble
423,Battenberg Cake
424,English Breakfast
425,Full English Breakfast
427,Chelsea Buns
428,Dundee cake
429,Madeira Cake
430,Rock Cakes
431,Parkin Cake
432,French Onion Soup
474,Kung Pao Chicken
433,Beef Bourguignon
434,Chocolate Souffle
435,Flamiche
436,Duck Confit
437,Ratatouille
438,Tarte Tatin
439,Chinon Apple Tarts
440,Summer Pistou
441,Three-cheese souffles
442,Brie wrapped in prosciutto & brioche
443,Boulangère Potatoes
503,Keleya Zaara
444,French Omelette
445,Pear Tarte Tatin
446,White chocolate creme brulee
447,Fish Stew with Rouille
448,Fennel Dauphinoise
449,Chicken Marengo
475,Kung Po Prawns
450,Provençal Omelette Cake
451,Prawn & Fennel Bisque
452,Canadian Butter Tarts
453,Nanaimo Bars
454,Split Pea Soup
455,Tourtiere
456,Montreal Smoked Meat
457,BeaverTails
458,Timbits
459,Pate Chinois
460,Sugar Pie
461,Pouding chomeur
462,Rappie Pie
484,Egg Drop Soup
463,Chicken Basquaise
464,Steak Diane
465,Saltfish and Ackee
466,Jerk chicken with rice & peas
467,Jamaican Beef Patties
501,Tunisian Lamb Soup
468,Callaloo Jamaican Style
469,Brown Stew Chicken
470,Red Peas Soup
471,Roast fennel and aubergine paella
472,Oxtail with broad beans
473,Escovitch Fish
502,Leblebi Soup
476,Ma Po Tofu
477,Wontons
478,Sweet and Sour Pork
479,Szechuan Beef
480,General Tsos Chicken
481,Beef Lo Mein
482,Shrimp Chow Fun
483,Hot and Sour Soup
485,Chicken Congee
486,Fruit and Cream Cheese Breakfast Pastries
487,Peanut Butter Cookies
488,Baked salmon with fennel & tomatoes
489,Salmon Avocado Salad
490,Budino Di Ricotta
491,Salmon Eggs Eggs Benedict
492,Shakshuka
493,Smoked Haddock Kedgeree
494,Breakfast Potatoes
495,Chocolate Caramel Crispy
496,Home-made Mandazi
497,Mbuzi Choma (Roasted Goat)
498,Chakchouka 
499,Tunisian Orange Cake
500,Kafteji
504,Tuna and Egg Briks
505,Cashew Ghoriba Biscuits
506,Corba
507,Kumpir
508,Bitterballen (Dutch meatballs)
509,Stamppot
510,Snert (Dutch Split Pea Soup)
511,Spaghetti alla Carbonara
512,Lasagna Sandwiches
513,Classic Christmas pudding
514,Christmas Pudding Trifle
515,Christmas cake
516,Mince Pies
528,Honey Yogurt Cheesecake
517,Soy-Glazed Meatloaves with Wasabi Mashed Potatoes & Roasted Carrots
518,Honey Balsamic Chicken with Crispy Broccoli & Potatoes
519,Skillet Apple Pork Chops with Roasted Sweet Potatoes & Zucchini
520,BBQ Pork Sloppy Joes
537,Chick-Fil-A Sandwich
521,French Onion Chicken with Roasted Carrots & Mashed Potatoes
522,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber"
523,Corned Beef and Cabbage
524,Crispy Sausages and Greens
525,Vegetable Shepherds Pie
526,Strawberry Rhubarb Pie
527,Moussaka
529,Stuffed Lamb Tomatoes
530,Lamb and Lemon Souvlaki
531,Lamb Tzatziki Burgers
532,Chicken Quinoa Greek Salad
533,Gigantes Plaki
534,Big Mac
535,Pizza Express Margherita
536,Krispy Kreme Donut
538,Paszteciki (Polish Pasties)
539,Bigos (Hunters Stew)
540,Pierogi (Polish Dumplings)
541,Rosół (Polish Chicken Soup)
542,Gołąbki (cabbage roll)
543,Polskie Naleśniki (Polish Pancakes)
544,Sledz w Oleju (Polish Herrings)
545,Rogaliki (Polish Croissant Cookies)
546,Ful Medames
547,Tamiya
548,Koshari
549,Shawarma
550,Mulukhiyah
551,Feteer Meshaltet
552,Egyptian Fatteh
553,Tonkatsu pork
554,Japanese gohan rice
555,Japanese Katsudon
556,Ham hock colcannon
557,Boxty Breakfast
558,Coddled pork with cider
559,Mustard champ
560,Piri-piri chicken and slaw
561,Spring onion and prawn empanadas
562,Grilled Portuguese sardines
563,Portuguese prego with green piri-piri
564,Fish fofos
565,Portuguese barbecued pork (Febras assadas)
566,Portuguese fish stew (Caldeirada de peixe)
567,Portuguese custard tarts
568,Moroccan Carrot Soup
569,Mee goreng mamak
570,Apam balik
571,Ayam Percik
572,Nasi lemak
573,Roti john
574,Beef Rendang
575,Seri muka kuih
576,Cevapi Sausages
577,Croatian lamb peka
578,Traditional Croatian Goulash
579,Croatian Bean Stew
580,Mushroom soup with buckwheat
581,Burek
582,Fresh sardines
583,Walnut Roll Gužvara
584,Chivito uruguayo
585,Fettuccine Alfredo
586,Sushi
